영화명,영화코드,개봉일,F-rated,장르,등급,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,감독1필모,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배우코드,배우성별,배우_대표역할,배우필모
피의 연대기,20175930,2018-01-18,3,다큐멘터리,12세이상관람가,독립/예술영화,킴 프로덕션,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),1071,38,79380200.0,10145,61178500,7318,피의 연대기|저수지 게임|우포늪의 사람들,김보람,20285310.0,여자,-,-,-,-,-,-,-,-,-,김보람,김보람,김보람,20285310,여자,감독,피의 연대기|저수지 게임|우포늪의 사람들,"여경주,김보람,심이안,박현지,이슬기,오희정,이민지,이재명,김현아,정민주,김하원,김민주,김선형,김은지,김수진,김소희,김보람",여경주,20287912,여자,배우,피의 연대기
젝스키스 에이틴,20189525,2018-01-18,0,다큐멘터리,전체관람가,일반영화,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),774,25,364405500.0,50419,225891500,29333,젝스키스 에이틴,(주)와이지엔터테인먼트,0.0,남자,-,-,-,-,-,-,-,-,-,(주)와이지엔터테인먼트,(주)와이지엔터테인먼트,(주)와이지엔터테인먼트,0,남자,감독,젝스키스 에이틴,"은지원,이재진,장수원,김재덕,강성훈,이재진",은지원,10054654,남자,배우,젝스키스 에이틴|링스 어드벤처|여고생 시집가기|세븐틴
1급기밀,20168161,2018-01-24,0,드라마,12세이상관람가,일반영화,"(주)미인픽쳐스,(주)미디어모굴",(주)리틀빅픽쳐스,11357,512,1720083300.0,217803,406282500,50330,1급기밀|이태원 살인사건|선택|가슴에 돋는 칼로 슬픔을 자르고|파랑새|수리세|세번째 시선,홍기선,10089413.0,남자,-,-,-,-,-,-,-,-,-,"최창열, 채윤석, 황영철, 안영수",최창열,최창열,20243950,남자,시나리오(각본),스윙키즈|1급기밀,"김상경,김옥빈,최무성,최귀화,김병철,최고,이지원,서현우,이상철,이승훈,이윤혁,신윤정,김태민,유영호,최보연,김민정,김성진,김우진,김성민,김민기,권태원",김상경,10004396,남자,배우,열두 번째 용의자|사라진 밤|1급기밀|궁합|살인의뢰|아빠를 빌려드립니다|몽타주|타워|하하하|화려한 휴가|조용한 세상|극장전|내 남자의 로맨스|살인의 추억|생활의 발견
비밥바룰라,20177473,2018-01-24,0,코미디,12세이상관람가,일반영화,영화사김치(주),씨네그루(주)키다리이엔티,4055,347,318986200.0,46817,102609200,13980,비밥바룰라,이성재,20289230.0,남자,-,-,-,-,-,-,-,-,-,"이성재, 한아영",이성재,이성재,20289230,남자,감독,비밥바룰라,"박인환,신구,임현식,윤덕용,김인권,이채은,이나라,최선자,성병숙,김창섭,양서연,류현,조용진,강민지",박인환,10029093,남자,배우,엑시트|킹메이커 : 선거판의 여우|기묘한 가족|비밥바룰라|푸른노을|루시드 드림|수상한 그녀|홍길동의 후예|박쥐|행복|무도리|투 가이즈|마법의 성|울랄라씨스터즈|봄날은 간다|교도소 월드컵|하면 된다|간첩 리철진|산전수전|조용한 가족|투캅스 3|베이비 세일|돈을 갖고 튀어라|밀크초콜릿 1950-1990|영심이|나는 날마다 일어선다|삶의 향기
천화,20166083,2018-01-25,1,드라마,15세이상관람가,독립/예술영화,(주)맑은시네마,(주)맑은시네마,223,11,13873900.0,1743,9214500,1148,천화|시선|사랑이 무서워|가능한 변화들,민병국,10027793.0,남자,-,-,-,-,-,-,-,-,-,민병국,민병국,민병국,10027793,남자,제작,천화|시선|사랑이 무서워|가능한 변화들,"이일화,양동근,하용수,이혜정,정나온,윤돈휘,정현주,송현희,남민우",이일화,10057104,여자,배우,기방도령|탐정: 리턴즈|천화|아빠는 딸|원라인|탐정 : 더 비기닝|패션왕|반두비|로맨틱 아일랜드|날나리 종부전|그리움엔 이유가 없다
공동정범,20169443,2018-01-25,2,다큐멘터리,15세이상관람가,독립/예술영화,성소수문화환경을 위한 모임 '연분홍치마',"(주)엣나인필름,(주)시네마달",1188,73,82372300.0,11198,55193100,7291,공동정범|모든 날의 촛불|노라노|두 개의 문|종로의 기적|레즈비언 정치도전기|3xFTM|마마상,김일란,10005439.0,여자,이혁상,10058080.0,남자,-,-,-,-,-,-,김일란,김일란,김일란,10005439,여자,감독,공동정범|모든 날의 촛불|노라노|두 개의 문|종로의 기적|레즈비언 정치도전기|3xFTM|마마상,"이충연,김주환,김창수,천주석,지석준,김재호,이충연,김형태,김성환,김영근",이충연,20314753,남자,배우,공동정범
반도에 살어리랏다,20179163,2018-01-25,0,"애니메이션,코미디",15세이상관람가,독립/예술영화,스튜디오 수집,"애니메이션 배급, 씨앗",223,14,15259000.0,2068,13521500,1733,반도에 살어리랏다|화장실콩쿨|거대한 태양이 다가온다|기억하려하다|얼론|화장실 콩쿨 - 쇼케이스|인디애니페스트2015-독립보행2|인디포럼2014 유토피아 디스토피아,이용선,20168440.0,남자,-,-,-,-,-,-,-,-,-,"이용선, 김영욱",이용선,이용선,20168440,남자,감독,반도에 살어리랏다|화장실콩쿨|거대한 태양이 다가온다|기억하려하다|얼론|화장실 콩쿨 - 쇼케이스|인디애니페스트2015-독립보행2|인디포럼2014 유토피아 디스토피아,"이승행,오가빈,이용우,박진영,강예솔,이승훈,이슬,이용선,이유진,박지현,김나영,김민성,강성우",이승행,20294756,남자,배우,극장판 도라에몽: 진구의 달 탐사기|극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드|극장판 도라에몽: 진구의 보물섬|마징가 Z: 인피니티|반도에 살어리랏다
기생-꽃의 고백,20180321,2018-01-25,2,다큐멘터리,12세이상관람가,독립/예술영화,한국영상대학교,필름에이픽쳐스,320,5,6404000.0,1863,4848000,1289,기생-꽃의 고백,홍태선,20299732.0,남자,임혁,20299714.0,남자,-,-,-,-,-,-,"심혜영, 홍해영, 오정아",심혜영,심혜영,20315179,여자,시나리오(각본),기생-꽃의 고백,"장금도,김가애",장금도,20299733,여자,배우,기생-꽃의 고백
누에치던 방,20160484,2018-01-31,3,드라마,15세이상관람가,독립/예술영화,"윈드웰러스 필름(주),영화사 잠","서울독립영화제,무브먼트",425,22,18195800.0,2267,14405000,1663,누에치던 방|가재들이 죽는.,이완민,10056778.0,여자,-,-,-,-,-,-,-,-,-,이완민,이완민,이완민,10056778,여자,감독,누에치던 방|가재들이 죽는.,"이상희,홍승이,김새벽,이선호,임형국,최진혁,정원,김승현,이주영,윤효진,이동호,이선미,이세진,이수연,이소원,이승훈,이정은,이지윤,김지원,김진구,윤종석,임수현,장일선,전지혜,박종범,정자영,조성훈,채형식,최동민,최수영,김나현,김경희,최진혁,최태현,최효빈,황지선,김성환,김수정,김연수,김예슬,김병석,김동준",이상희,20147107,여자,배우,"니나 내나|당신의 부탁|7년의 밤|국도극장|호랑이보다 무서운 겨울손님|아이 캔 스피크|컴, 투게더|춘천, 춘천|눈꺼풀|누에치던 방|연애담|터널|탐정 홍길동: 사라진 마을|비밀은 없다|글로리데이|퇴마: 무녀굴|마돈나|어떤날, 서울|철원기행|영도|차이나타운|쎄시봉|나의 사랑 나의 신부|만신|한 번도 안 해본 여자|여보세요|여자의 아내|아무것도 아니지만|벨빌|바람이 분다 |뜨개질|충심, 소소|초대|오늘, 우리|우리 지금 만나|노맨스랜드|2016 대단한단편영화제-배우 특별전: 이상희|9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희"""
염력,20168323,2018-01-31,0,"드라마,코미디",15세이상관람가,일반영화,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),45623,1099,7484644112.0,990104,1855120412,238805,반도|염력|카이: 거울 호수의 전설|서울역|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2,연상호,10049814.0,남자,-,-,-,-,-,-,-,-,-,연상호,연상호,연상호,10049814,남자,감독,반도|염력|카이: 거울 호수의 전설|서울역|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2,"류승룡,심은경,박정민,김민재,정유미,이승용,예수정,이기환,이동근,김재원,백성욱,이재현,이정은,김주연,이지혜,이지훈,이현정,김흥태,나성식,박재규,조웅희,김기천,김기철,김기범,김대근,최영우,최지연,황영수,윤돈선,태항호",류승룡,10019065,남자,배우,"입술은 안돼요(가제)|인생은 아름다워(가제)|극한직업|7년의 밤|염력|제5열|서울역|도리화가|손님|리오 2|표적|명량|캡틴 하록|7번방의 선물|가디언즈|광해, 왕이 된 남자|내 아내의 모든 것|사랑오감|최종병기 활 감독확장판|최종병기 활|고지전|지구대표 롤링스타즈|아이들...|평양성|퀴즈왕|베스트셀러|된장|시크릿|불신지옥|열한번째 엄마|황진이|고마운 사람|다섯 개의 시선"
