영화명,영화코드,개봉일,F-rated,장르,등급,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,감독1필모,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배우코드,배우성별,배우_대표역할,배우필모
워킹걸,20147947,2015-01-07,1,"코미디,멜로/로맨스",청소년관람불가,일반영화,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,7077,308,1183887479.0,149181,389163479,49874,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',정범식,10061758.0,남자,-,-,-,-,-,-,-,-,-,정범식,정범식,정범식,10061758,남자,감독,공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',"조여정,클라라,김태우,배유람,정범식,정범식,박주희,백경인,조은영,손진우,배성우,유찬호,김세미,라미란,이민아,황준호,이승원,이시현,조재윤,김영옥,김보연,오나라,박상민,김승주",조여정,10066680,여자,배우,기생충|워킹걸|인간중독|표적|후궁 : 제왕의 첩|방자전|흡혈형사 나도열
설해,20124398,2015-01-08,0,"멜로/로맨스,드라마",12세이상관람가,독립/예술영화,(주)맑음영화사,"(주)마인스 엔터테인먼트,주식회사 마운틴픽쳐스",335,34,20767500.0,2796,10191000,1317,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,김정권,10005546.0,남자,-,-,-,-,-,-,-,-,-,"김정권, 김군영",김정권,김정권,10005546,남자,감독,설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,"박해진,이영아,송재희,전무송,최원주,이상민,이기열,윤기호,김수환,김정권,김혜진,박재한,성낙규,김정균,이용녀,오은호,편보승,정재훈",박해진,20126329,남자,배우,치즈인더트랩|설해|젓가락
허삼관,20131262,2015-01-14,0,드라마,12세이상관람가,일반영화,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),27661,621,7405415569.0,955175,1879461269,232983,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",하정우,10087253.0,남자,-,-,-,-,-,-,-,-,-,"하정우, 김주호",하정우,하정우,10087253,남자,배우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을","하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은,임현성,민무제,강신철",하정우,10087253,남자,배우,"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을"
오늘의 연애,20142407,2015-01-14,0,"멜로/로맨스,코미디",15세이상관람가,일반영화,(주)팝콘에프앤엠,씨제이이앤엠(주),47237,709,14924654487.0,1891993,3951958987,480061,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,박진표,10029363.0,남자,-,-,-,-,-,-,-,-,-,"박진표, 이병헌",박진표,박진표,10029363,남자,감독,오늘의 연애|공범|내 사랑 내 곁에|그놈 목소리|너는 내 운명|죽어도 좋아|신비한 영어나라|여섯 개의 시선,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연",이승기,10056227,남자,배우,궁합|오늘의 연애
고양이 장례식,20144601,2015-01-15,0,멜로/로맨스,12세이상관람가,독립/예술영화,영화 고양이 장례식 제작 조합,(주)인디플러그,394,46,23200900.0,2865,17496200,2146,고양이 장례식|심판의날,이종훈,10057421.0,남자,-,-,-,-,-,-,-,-,-,이종훈,이종훈,이종훈,10057421,남자,감독,고양이 장례식|심판의날,"강인,박세영,정겨운,강신유,신무호,김민지,이민희,남기준,민지,김병춘,김도영,차민지",강인,10005001,남자,배우,고양이 장례식|순정만화|앨빈과 슈퍼밴드|꽃미남 연쇄 테러 사건
미라클 여행기,20148631,2015-01-15,1,다큐멘터리,전체관람가,독립/예술영화,"미라클필름,(주)꿈길제작소,허철필름",미라클필름,320,12,20562500.0,3228,13008500,2117,돌아온다|필름시대사랑|미라클 여행기|영화판,허철,20114576.0,남자,-,-,-,-,-,-,-,-,-,허철,허철,허철,20114576,남자,감독,돌아온다|필름시대사랑|미라클 여행기|영화판,"최미라,김영민,김정민",최미라,20188866,여자,배우,미라클 여행기|찌라시: 위험한 소문|신세기 낭만시대
강남 1970,20136888,2015-01-21,0,"액션,드라마",청소년관람불가,일반영화,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,53304,841,17717971499.0,2192172,4859661899,586992,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다",유하,20111250.0,남자,-,-,-,-,-,-,-,-,-,유하,유하,유하,20111250,남자,감독,"파이프라인|강남 1970|강남1970(무삭제판)|하울링|쌍화점|비열한 거리|말죽거리 잔혹사|결혼은, 미친짓이다|바람부는 날이면 압구정동에 가야 한다","이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우",이민호,20185376,남자,배우,바운티 헌터스: 현상금사냥꾼|강남 1970|강남1970(무삭제판)|울학교 이티|강철중: 공공의 적 1-1
생각보다 맑은,20145202,2015-01-22,2,애니메이션,12세이상관람가,독립/예술영화,Studio Allo,"애니메이션 배급, 씨앗,㈜인디스토리",462,17,27393900.0,3881,22611900,3139,생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,한지원,20180788.0,여자,-,-,-,-,-,-,-,-,-,한지원,한지원,한지원,20180788,여자,감독,생각보다 맑은|26년|학교 가는 길|코피루왁|[작은영화영화제]인디애니페스트 2018 초대전|콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니유랑단2014 - 성장통|동물과 함께 사는 세상 단편 |인디애니씨앗터 2월,"엄상현,양정화,한지원,한지원,이홍수,이홍수,이홍수,이호민,이영기,유아람,서정원,서정원",엄상현,10047326,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
내 심장을 쏴라,20148553,2015-01-28,1,드라마,15세이상관람가,일반영화,(주)주피터필름,"(주)리틀빅픽쳐스,(주)이수C&E",20042,452,2856859132.0,387409,602511932,79237,내 심장을 쏴라|아부의 왕|슈퍼맨이었던 사나이|타짜|내 생애 가장 아름다운 일주일|쌍둥이들|시린 귀를 감싸며,문제용,10026804.0,남자,-,-,-,-,-,-,-,-,-,"최정미, 문제용, 유선동",최정미,최정미,20209326,여자,시나리오(각본),"고산자, 대동여지도|따라지 : 비열한 거리|내 심장을 쏴라","이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,정유정,권소영,이규섭,김재화,엄효섭,김보라,장리우,진용욱,곽순우,한태린",이민기,10055447,남자,배우,조선명탐정: 흡혈괴마의 비밀|내 심장을 쏴라|황제를 위하여|몬스터|연애의 온도|오싹한 연애|퀵|10억|해운대|오이시맨|로맨틱 아일랜드|바람피기 좋은 날
어우동: 주인 없는 꽃,20149298,2015-01-29,0,멜로/로맨스,청소년관람불가,일반영화,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,393,18,60141000.0,12203,18432000,3018,로드킬|대가리|독고다이|일진 3|일진 2|메모리즈|일진|미스터 좀비(감독판)|휴가|외도|지렁이|위험한 중독|포장마차|젊은 처제|그리울 련|짓2: 붉은 낙타|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|연애의 기술|짓|연애의 기술 감독판|전망 좋은 집|전망좋은집:무삭제노출판|미스터좀비,이수성,10056145.0,남자,-,-,-,-,-,-,-,-,-,이창규,이창규,이창규,20110319,남자,감독,어우동: 주인 없는 꽃|하쿠나 마타타 - 지라니 이야기,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,양정민,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성,이봄",백도빈,10030280,남자,배우,시간위의 집|어떻게 헤어질까|어우동: 주인 없는 꽃 무삭제판|살인캠프|어우동: 주인 없는 꽃|콩나물|나는 왕이로소이다|챔프|타짜
망원동 인공위성,20133803,2015-02-05,0,다큐멘터리,12세이상관람가,독립/예술영화,플레인 픽처스,(주)시네마달,412,21,15697200.0,2097,12145200,1601,로드쇼|망원동 인공위성|요코하마에서의 춤 2008|[인디포럼2016] 신작03 외침과 속삭임|네마프2015 대안영화 단편,김형주,20179028.0,남자,-,-,-,-,-,-,-,-,-,김형주,김형주,김형주,20179028,남자,감독,로드쇼|망원동 인공위성|요코하마에서의 춤 2008|[인디포럼2016] 신작03 외침과 속삭임|네마프2015 대안영화 단편,"송호준,조성윤,송호준,유지선,홍성훈",송호준,20220936,남자,배우,망원동 인공위성
쎄시봉,20148188,2015-02-05,0,"멜로/로맨스,코미디,드라마",15세이상관람가,일반영화,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),51744,829,13509581911.0,1707487,3396629711,414692,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,김현석,10006261.0,남자,-,-,-,-,-,-,-,-,-,김현석,김현석,김현석,10006261,남자,감독,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화",김윤석,10005276,남자,배우,"바이러스(가제)|미성년|암수살인|1987|남한산성|당신, 거기 있어줄래요|검은 사제들|극비수사|쎄시봉|타짜-신의 손|해무(海霧)|화이: 괴물을 삼킨 아이|남쪽으로 튀어|도둑들|도둑들 영화를 만들다|완득이|황해|전우치|거북이 달린다|추격자|즐거운 인생|타짜|천하장사 마돈나|야수|파랑주의보|내 생애 가장 아름다운 일주일|시실리 2km|범죄의 재구성|울랄라씨스터즈|베사메무쵸|어린 연인"
최강전사 미니특공대 : 새로운 악당의 습격,20156441,2015-02-05,0,애니메이션,전체관람가,일반영화,(주)삼지애니메이션,에이원엔터테인먼트,4645,318,1163431200.0,154342,220766300,27906,미니특공대X|파워배틀 와치카: 와치가면의 역습|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험,이영준,20186877.0,남자,-,-,-,-,-,-,-,-,-,"신현덕, 박상글, 김수훈, 최가희, 최인희",신현덕,신현덕,20229771,남자,시나리오(각본),"미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격","엄상현,전태열,신용우",엄상현,10047326,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
조선명탐정 : 사라진 놉의 딸,20149570,2015-02-11,1,"사극,코미디,어드벤처",12세이상관람가,일반영화,청년필름(주),(주)쇼박스,80499,811,30456879428.0,3872015,6908501928,845522,조선명탐정: 흡혈괴마의 비밀|조선명탐정 : 사라진 놉의 딸|조선명탐정 : 각시투구꽃의 비밀|올드미스다이어리,김석윤,10004484.0,남자,-,-,-,-,-,-,-,-,-,"김수진, 이남규",김수진,김수진,20160659,여자,시나리오(각본),출국|조선명탐정 : 사라진 놉의 딸|누구에게나 찬란한|모던보이|올드미스다이어리,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영",김명민,10004060,남자,배우,장사리 : 잊혀진 영웅들|물괴|조선명탐정: 흡혈괴마의 비밀|브이아이피|하루|판도라|특별수사: 사형수의 편지|대배우|조선명탐정 : 사라진 놉의 딸|간첩|연가시|페이스메이커|조선명탐정 : 각시투구꽃의 비밀|파괴된 사나이|내 사랑 내 곁에|무방비도시|리턴|거울속으로|스턴트맨|소름
꿈보다 해몽,20141612,2015-02-12,0,"드라마,코미디",15세이상관람가,독립/예술영화,영화사 벽돌,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),763,36,30616700.0,4087,23706000,3057,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,이광국,10054828.0,남자,-,-,-,-,-,-,-,-,-,이광국,이광국,이광국,10054828,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,"유준상,신동미,김강현,이채은,이주원,박수민,서영화,윤영민,백수장,이봉련",유준상,10053981,남자,배우,"강변호텔|아직 안 끝났어|당신자신과 당신의 것|고산자, 대동여지도|내가 너에게 배우는 것들|지금은맞고그때는틀리다|성난 화가 - 무삭제판|성난 화가|꿈보다 해몽|표적|전설의 주먹|누구의 딸도 아닌 해원|잠베지아: 신비한 나무섬의 비밀|터치|R2B: 리턴투베이스|다른나라에서|북촌방향|이끼|하하하|로니를 찾아서|잘 알지도 못하면서|리턴|나의 결혼원정기|쇼쇼쇼(Show Show Show)|빨간 피터의 고백|가위|텔미썸딩|리스트"
조류인간,20148685,2015-02-26,0,드라마,15세이상관람가,독립/예술영화,(주) 루스이소니도스,(주) 루스이소니도스,412,21,20120700.0,2640,16765700,2129,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",신연식,10040499.0,남자,-,-,-,-,-,-,-,-,-,신연식,신연식,신연식,10040499,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자","김정팔,소이,정한비,강신효,임동훈,배영민,신연식,신연식,이새별,김장호,이연진,최종률,이유미",김정팔,20160378,남자,배우,세트플레이|뷰티풀 보이스|한강블루스|동주|조류인간|들개들|러시안 소설|모크샤... 나는 혹은 세상은 어떻게 작동하는가|해결사|여기는 어디냐?
기화,20149491,2015-02-26,0,"드라마,코미디,가족",청소년관람불가,독립/예술영화,아방가르드 필름,아방가르드 필름,41,5,5753500.0,831,4760000,685,구르는 수레바퀴|기화|싯 앤 고|마흔아홉번째 면회,문정윤,10026795.0,남자,-,-,-,-,-,-,-,-,-,문정윤,문정윤,문정윤,10026795,남자,감독,구르는 수레바퀴|기화|싯 앤 고|마흔아홉번째 면회,"홍희용,백승철,김현준,손민지,이제현,박수빈,장민우,장선희,정광호,정동규,조성진,조연,조진철,심정희,오주환,김성우,이민주,이유진",홍희용,10089943,남자,배우,기화|싯 앤 고
순수의 시대,20136063,2015-03-05,1,"사극,드라마",청소년관람불가,일반영화,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),23630,546,3702353828.0,465492,1047948228,125716,나는 증인이다|순수의 시대|순수의 시대 무삭제편|블라인드|레인보우|아랑|...ing|패스오버|다섯 개의 시선,안상훈,20111254.0,남자,-,-,-,-,-,-,-,-,-,김세희,김세희,김세희,20169280,여자,시나리오(각본),순수의 시대,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉,황금희,성유빈",신하균,10040665,남자,배우,선물|앵커|나의 특별한 형제|바람 바람 바람|7호실|악녀|올레|순수의 시대|순수의 시대 무삭제편|빅매치|런닝맨|퍼스트 포지션|고지전|페스티발|카페 느와르|박쥐|더 게임|예의없는 것들|박수칠 때 떠나라|웰컴 투 동막골|우리 형|화성으로 간 사나이|지구를 지켜라|서프라이즈|복수는 나의 것|킬러들의 수다|공동경비구역 JSA|커밍 아웃|간첩 리철진|기막힌 사내들|나와 통하는 다음검색 : 털|묻지마 패밀리
개: dog eat dog,20143252,2015-03-05,0,"범죄,드라마",청소년관람불가,독립/예술영화,"어썸피플,어썸픽쳐스","어썸피플,어뮤즈",179,12,10802000.0,1359,4437500,535,라이브 하드|개: dog eat dog|누구나 제 명에 죽고 싶다|라이브 클럽 그레이하운드,황욱,20183861.0,남자,박민우,20154667.0,남자,-,-,-,-,-,-,황욱,황욱,황욱,20183861,남자,감독,라이브 하드|개: dog eat dog|누구나 제 명에 죽고 싶다|라이브 클럽 그레이하운드,"김선빈,곽민호,정준교,이하민,박형준,정완희,강필선,공민정",김선빈,10004518,남자,배우,개: dog eat dog|설인|물고기|그대는 쇼팬하우어의 트리플악셀처럼|두 개의 밤|코스모스 노래방
헬머니,20148841,2015-03-05,1,코미디,청소년관람불가,일반영화,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),24870,422,4096141972.0,519983,799976772,98593,내안의 그놈|헬머니|위험한 상견례|가루지기|싸움의 기술|늦은여름|뼛살|혹성 탈출,신한솔,10040668.0,남자,-,-,-,-,-,-,-,-,-,"조사무엘, 신한솔",조사무엘,조사무엘,10065870,남자,시나리오(각본),보통사람|악인은 살아 있다|헬머니|음치 클리닉 |가루지기|마파도2|싸움의 기술,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선,김정영,이정은,정이랑",김수미,10004748,여자,배우,헬머니|전국노래자랑|가문의 영광4 - 가문의 수난|위험한 상견례|빨간모자의 진실 2|그대를 사랑합니다|육혈포 강도단|흑심모녀|만남의 광장|못말리는 결혼|마파도2|가문의 부활 - 가문의 영광3|다세포소녀|공필두|맨발의 기봉이|연리지|구세주|빨간모자의 진실|가문의 위기(가문의 영광2)|간 큰 가족|마파도|우뢰매 4탄 썬더브이출동|화순이
소셜포비아,20141602,2015-03-12,0,"스릴러,드라마",15세이상관람가,독립/예술영화,한국영화아카데미,CGV아트하우스,15231,368,1950635763.0,248215,551485163,67072,피의 연대기|소셜포비아|이쁜 것들이 되어라|보호자|잉투기|필름|Keep Quiet|하트바이브레이터|과월 사랑세 납부고지서|8/10000|외할머니와 레슬링|9월 단편 상상극장 - 홍석재 감독 특별전|2015 GSFF-개막식|KAFA 단편 3,홍석재,10089518.0,남자,-,-,-,-,-,-,-,-,-,"홍석재, 조현민",홍석재,홍석재,10089518,남자,감독,피의 연대기|소셜포비아|이쁜 것들이 되어라|보호자|잉투기|필름|Keep Quiet|하트바이브레이터|과월 사랑세 납부고지서|8/10000|외할머니와 레슬링|9월 단편 상상극장 - 홍석재 감독 특별전|2015 GSFF-개막식|KAFA 단편 3,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철,오희준,박근록,박예영",변요한,20147110,남자,배우,"노리개: 그녀의 눈물|자산어보|하루|당신, 거기 있어줄래요|마돈나|소셜포비아|들개|감시자들|별리섬|목격자의 밤"
살인의뢰,20148461,2015-03-12,0,"범죄,스릴러",청소년관람불가,일반영화,(주)미인픽쳐스,씨네그루(주)다우기술,35244,646,6986456737.0,855980,1716336937,201830,나쁜 녀석들: 더 무비|살인의뢰|사랑 따윈 필요 없어,손용호,20188569.0,남자,-,-,-,-,-,-,-,-,-,"손용호, 안영진",손용호,손용호,20188569,남자,감독,나쁜 녀석들: 더 무비|살인의뢰|사랑 따윈 필요 없어,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤",김상경,10004396,남자,배우,열두 번째 용의자|사라진 밤|1급기밀|궁합|살인의뢰|아빠를 빌려드립니다|몽타주|타워|하하하|화려한 휴가|조용한 세상|극장전|내 남자의 로맨스|살인의 추억|생활의 발견
